product_type;exporter_cnpj;vol;port_of_export;country_of_destination
SOYBEAN CAKE;2003402005720;56240845.861999996;PARANAGUA;NETHERLANDS
SOYBEAN OIL;2003402005720;2783700.0;PARANAGUA;PAKISTAN
SOYBEAN CAKE;2003402005720;41240000.0;PARANAGUA;ROMANIA
SOYBEAN CAKE;2003402005720;1546499.9999999998;PARANAGUA;SPAIN
SOYBEAN CAKE;2003402005720;9794500.0;PARANAGUA;TURKEY
SOYBEANS;2003402005991;72344141.0;SANTOS;CHINA (MAINLAND)
SOYBEAN CAKE;2003402005991;3514.679;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEAN CAKE;2003402005991;51642043.556;SANTOS;DENMARK
SOYBEAN CAKE;2003402005991;78475905.3;SANTOS;INDONESIA
SOYBEANS;2003402005991;4500.0;SAO LUIS;PORTUGAL
SOYBEANS;2003402005991;48450000.0;MANAUS;SPAIN
SOYBEAN CAKE;2003402005991;27811931.235;SANTOS;VIETNAM
SOYBEAN CAKE;2003402006378;2556364.4999999995;SANTOS;MALAYSIA
SOYBEANS;2003402006700;68500000.0;SAO LUIS;CHINA (MAINLAND)
SOYBEANS;2003402006700;21500000.0;SAO LUIS;EUROPEAN UNION
SOYBEAN CAKE;2003402006700;28201006.922;SAO LUIS;SPAIN
SOYBEAN OIL;2003402007269;3092999.9999999995;PARANAGUA;BANGLADESH
SOYBEANS;2003402007269;10000000.0;PARANAGUA;BANGLADESH
SOYBEANS;2003402007269;482317610.875;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;2003402007269;16000000.0;SAO FRANCISCO DO SUL;CHINA (MAINLAND)
SOYBEAN OIL;2003402007269;824799.9999999999;PARANAGUA;INDIA
SOYBEANS;2003402007269;16211728.0;PARANAGUA;IRAN
SOYBEAN CAKE;2003402007269;104125149.075;PARANAGUA;NETHERLANDS
SOYBEANS;2003402007269;24999999.0;PARANAGUA;VIETNAM
SOYBEANS;2003402007340;512253064.0;RIO GRANDE;CHINA (MAINLAND)
SOYBEANS;2003402007340;42548634.0;RIO GRANDE;TAIWAN
SOYBEANS;2003402008079;165956132.0;SALVADOR;CHINA (MAINLAND)
SOYBEANS;2003402008079;7000000.0;SALVADOR;NETHERLANDS
SOYBEANS;2003402008079;65374690.0;SALVADOR;PAKISTAN
SOYBEANS;2003402008079;48000000.0;SALVADOR;TAIWAN
SOYBEANS;2003402008230;29000000.0;SALVADOR;CHINA (MAINLAND)
SOYBEANS;2003402009989;18000000.0;BARCARENA;ALGERIA
SOYBEANS;2003402009989;262919596.0;BARCARENA;CHINA (MAINLAND)
SOYBEANS;2003402009989;5000000.0;BARCARENA;MEXICO
SOYBEANS;2003402009989;205120164.0;BARCARENA;NETHERLANDS
SOYBEANS;2003402009989;20000000.0;BARCARENA;SAUDI ARABIA
SOYBEANS;2003402009989;60497172.0;BARCARENA;TURKEY
SOYBEANS;2003402011290;42000000.0;BARCARENA;ALGERIA
SOYBEANS;2003402011290;23000000.0;BARCARENA;CHINA (MAINLAND)
SOYBEANS;2003402011290;29300000.0;PARANAGUA;CHINA (MAINLAND)
SOYBEANS;2003402011290;63000000.0;VITORIA;CHINA (MAINLAND)
SOYBEANS;2003402011290;778220.0;BARCARENA;EUROPEAN UNION
SOYBEANS;2003402011290;69829084.0;BARCARENA;GERMANY
SOYBEANS;2003402011290;213375612.0;BARCARENA;NETHERLANDS
SOYBEANS;2003402011290;15000000.0;BARCARENA;TURKEY
SOYBEANS;2003402013900;145960661.0;SAO LUIS;CHINA (MAINLAND)
SOYBEANS;2003402013900;14800000.0;SAO LUIS;EUROPEAN UNION
SOYBEANS;2003402013900;6000000.0;SAO LUIS;MAURITIUS
SOYBEAN CAKE;2003402013900;28872977.668;SAO LUIS;ROMANIA
SOYBEANS;2003402013900;1700000.0;SAO LUIS;SPAIN
SOYBEANS;2003402013900;60500000.0;SAO LUIS;TURKEY
SOYBEANS;2072608000157;1877709.0;SALVADOR;SPAIN
SOYBEANS;2072608000157;3121292.0;SALVADOR;TAIWAN
SOYBEAN OIL;2077618000185;11341000.0;PARANAGUA;BANGLADESH
SOYBEAN OIL;2077618000185;13918499.999999998;PARANAGUA;CHINA (MAINLAND)
SOYBEAN CAKE;2077618000185;5155000.0;PARANAGUA;DENMARK
SOYBEAN CAKE;2077618000185;16818648.356999993;PARANAGUA;EGYPT
SOYBEAN CAKE;2077618000185;10994638.643;PARANAGUA;EUROPEAN UNION
SOYBEAN CAKE;2077618000185;8144899.999999999;PARANAGUA;FRANCE
SOYBEAN OIL;2077618000185;14852316.909000002;PARANAGUA;INDIA
SOYBEAN OIL;2077618000185;2062000.0;PARANAGUA;MADAGASCAR
SOYBEAN OIL;2077618000185;1031000.0;PARANAGUA;PAKISTAN
SOYBEAN CAKE;2077618000185;103100.0;PARANAGUA;POLAND
SOYBEAN CAKE;2077618000185;17836300.0;PARANAGUA;SOUTH KOREA
SOYBEAN CAKE;2077618000185;44475660.501;PARANAGUA;SPAIN
SOYBEAN CAKE;2077618000185;3092999.9999999995;PARANAGUA;THAILAND
SOYBEAN CAKE;2077618000185;9279000.0;PARANAGUA;TURKEY
SOYBEAN OIL;2077618000266;4639500.0;PARANAGUA;BANGLADESH
SOYBEAN OIL;2077618000266;21238600.0;PARANAGUA;CHINA (MAINLAND)
SOYBEAN OIL;2077618000266;19678043.346;PARANAGUA;INDIA
SOYBEAN OIL;2077618000266;5155000.0;PARANAGUA;MALAYSIA
SOYBEAN CAKE;2077618000266;4124000.0;PARANAGUA;NETHERLANDS
SOYBEAN CAKE;2077618000266;42900502.825;PARANAGUA;POLAND
SOYBEAN CAKE;2077618000266;44931657.36699999;PARANAGUA;SOUTH KOREA
SOYBEAN CAKE;2077618000266;7732499.999999999;PARANAGUA;SPAIN
SOYBEAN CAKE;2077618000266;6185999.999999999;PARANAGUA;TURKEY
SOYBEAN OIL;2077618002390;7216999.999999999;PARANAGUA;ARGENTINA
SOYBEAN OIL;2077618002390;4124000.0;PARANAGUA;INDIA
SOYBEAN CAKE;2077618002390;2062000.0;PARANAGUA;POLAND
