level;cnpj8;tax_municipality;cnpj
3;47067525;BR-3535507;47067525008192
3;84046101;BR-4205902;84046101035140
3;47067525;BR-4119905;47067525009750
3;80671;BR-4101408;80671001343
3;60498706;BR-3528403;60498706007836
3;5252578;BR-4303509;5252578000159
3;26280374;BR-3118601;26280374000100
3;20612931;BR-4106902;20612931000310
3;20612931;BR-3550308;20612931000158
3;47067525;BR-5100300;47067525016292
3;53309845;BR-5201108;53309845000200
3;7657789;BR-5215702;7657789000105
3;84046101;BR-4119905;84046101028446
3;12006181;BR-3549409;12006181001033
3;91473678;BR-4306809;91473678000147
3;77752293;BR-4105300;77752293001240
3;10515785;BR-4115200;10515785007282
3;60498706;BR-5107040;60498706034485
3;84046101;BR-2919553;84046101022839
3;73410326;BR-4101804;73410326001051
3;76093731;BR-4103453;76093731003700
3;84046101;BR-4307708;84046101030262
3;2990334;BR-4321956;2990334001408
3;2987873;BR-4312617;2987873000408
3;3498116;BR-4207684;3498116000271
3;91473678;BR-4125605;91473678001704
3;79114450;BR-4115200;79114450000912
3;17689853;BR-5203500;17689853000185
3;53309845;BR-3534302;53309845000120
3;2003402;BR-5107602;2003402002461
3;73410326;BR-4103701;73410326000837
3;3086181;BR-3550308;3086181000109
4;77752293;BR-5003702;77752293009497
4;6315338;BR-3101607;6315338000623
4;75904383;BR-5000609;75904383011913
4;14796754;BR-3550308;14796754000104
4;14796754;BR-4314902;14796754000457
4;14796754;BR-4106902;14796754000538
4;14796754;BR-3203205;14796754000880
4;14796754;BR-4118204;14796754000961
4;14796754;BR-2919553;14796754001186
4;5257285;BR-4118204;5257285000245
4;969790;BR-5101803;969790001866
4;47067525;BR-4306106;47067525007897
4;31172045;BR-1400100;31172045000177
4;20148953;BR-3133808;20148953000109
4;19931971;BR-3116605;19931971000183
4;546997;BR-3137106;546997000260
4;5492968;BR-5103403;5492968000368
4;84046101;BR-1501501;84046101042007
4;77752293;BR-4219507;77752293006200
4;79038097;BR-4102802;79038097001153
4;79038097;BR-4102802;79038097003873
4;10962697;BR-2101400;10962697000305
4;87702528;BR-4313201;87702528000190
4;2937632;BR-5102686;2937632001930
4;6855894;BR-2111300;6855894001311
4;7028528;BR-3516705;7028528001270
4;87573952;BR-4322202;87573952000182
4;8842690;BR-4114807;8842690000561
4;75904383;BR-4104303;75904383007053
4;2003402;BR-4115200;2003402007269
4;2003402;BR-3547007;2003402000507
4;84046101;BR-3543402;84046101047904
4;60498706;BR-4118204;60498706035295
4;21294708;BR-4113700;21294708000253
4;3347747;BR-5218904;3347747000109
4;75084871;BR-4112108;75084871000130
4;77294254;BR-4216206;77294254006206
4;84046101;BR-4119905;84046101027989
4;6315338;BR-4314902;6315338001514
4;80671;BR-3502309;80671001424
4;8493354;BR-3170107;8493354000127
4;4485210;BR-4110706;4485210001816
