product_type,exporter_cnpj,vol,port_of_export,country_of_destination,level,cnpj8,tax_municipality,cnpj,exporter_cnpj_8,branch,tax_municipality_type
SOYBEANS,1236287000116,2000000.0,SAO FRANCISCO DO SUL,PAKISTAN,1,1236287,BR-4113700,1236287000116,1236287,Branch 1,logistics hub
SOYBEANS,1236287000116,298920.0,SAO FRANCISCO DO SUL,TAIWAN,1,1236287,BR-4113700,1236287000116,1236287,Branch 1,logistics hub
SOYBEAN OIL,1459630000272,65499.42999999999,PARANAGUA,EL SALVADOR,2,1459630,BR-4119905,1459630000272,1459630,Branch 2,logistics hub
SOYBEAN OIL,1459630000272,27482.336,PARANAGUA,PANAMA,2,1459630,BR-4119905,1459630000272,1459630,Branch 2,logistics hub
SOYBEANS,1655275000126,219500000.0,PARANAGUA,CHINA (MAINLAND),1,1655275,BR-5000906,1655275000126,1655275,Branch 1,logistics hub
SOYBEANS,1655275000126,6942860.0,SANTOS,CHINA (MAINLAND),1,1655275,BR-5000906,1655275000126,1655275,Branch 1,logistics hub
SOYBEANS,1655275000126,5013465.0,SAO FRANCISCO DO SUL,CHINA (MAINLAND),1,1655275,BR-5000906,1655275000126,1655275,Branch 1,logistics hub
SOYBEANS,1655275000126,2951684.0,SANTOS,THAILAND,1,1655275,BR-5000906,1655275000126,1655275,Branch 1,logistics hub
SOYBEANS,1655275000126,500000.0,PARANAGUA,VIETNAM,1,1655275,BR-5000906,1655275000126,1655275,Branch 1,logistics hub
SOYBEAN CAKE,1682695000100,2914298.832,PARANAGUA,FRANCE,2,1682695,BR-2601706,1682695000100,1682695,Branch 2,logistics hub
SOYBEAN CAKE,1961898000127,10057312.21,SANTOS,INDONESIA,5,1961898,BR-3522604,1961898000127,1961898,out of scope,
SOYBEANS,1994951000196,2600000.0,PARANAGUA,BANGLADESH,2,1994951,BR-4115200,1994951000196,1994951,Branch 2,logistics hub
SOYBEANS,1994951000196,85734624.0,PARANAGUA,CHINA (MAINLAND),2,1994951,BR-4115200,1994951000196,1994951,Branch 2,logistics hub
SOYBEANS,1994951000196,1524276.0,PARANAGUA,SOUTH KOREA,2,1994951,BR-4115200,1994951000196,1994951,Branch 2,logistics hub
SOYBEANS,1994951000196,2500000.0,PARANAGUA,VIETNAM,2,1994951,BR-4115200,1994951000196,1994951,Branch 2,logistics hub
SOYBEANS,2003402000175,14000000.0,SAO LUIS,CHINA (MAINLAND),1,2003402,BR-3205309,2003402000175,2003402,Branch 1,logistics hub
SOYBEANS,2003402000175,989690283.0,VITORIA,CHINA (MAINLAND),1,2003402,BR-3205309,2003402000175,2003402,Branch 1,logistics hub
SOYBEAN CAKE,2003402000175,20227238.488,SAO LUIS,GERMANY,1,2003402,BR-3205309,2003402000175,2003402,Branch 1,logistics hub
SOYBEANS,2003402000175,29582984.0,VITORIA,JAPAN,1,2003402,BR-3205309,2003402000175,2003402,Branch 1,logistics hub
SOYBEANS,2003402000175,79730000.0,VITORIA,THAILAND,1,2003402,BR-3205309,2003402000175,2003402,Branch 1,logistics hub
SOYBEANS,2003402000175,5478022.0,SAO LUIS,TURKEY,1,2003402,BR-3205309,2003402000175,2003402,Branch 1,logistics hub
SOYBEANS,2003402000175,1199000.0,VITORIA,VIETNAM,1,2003402,BR-3205309,2003402000175,2003402,Branch 1,logistics hub
SOYBEANS,2003402000507,141747920.0,SANTOS,CHINA (MAINLAND),4,2003402,BR-3547007,2003402000507,2003402,Branch 3,logistics hub
SOYBEANS,2003402000760,69291272.0,SALVADOR,CHINA (MAINLAND),5,2003402,BR-3548500,2003402000760,2003402,Branch 3,logistics hub
SOYBEANS,2003402000760,838523076.5,SANTOS,CHINA (MAINLAND),5,2003402,BR-3548500,2003402000760,2003402,Branch 3,logistics hub
SOYBEANS,2003402000760,4000000.0,SAO FRANCISCO DO SUL,CHINA (MAINLAND),5,2003402,BR-3548500,2003402000760,2003402,Branch 3,logistics hub
SOYBEANS,2003402000760,64827489.0,VITORIA,CHINA (MAINLAND),5,2003402,BR-3548500,2003402000760,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402000760,27837000.0,SANTOS,DENMARK,5,2003402,BR-3548500,2003402000760,2003402,Branch 3,logistics hub
SOYBEANS,2003402000760,66316756.0,BARCARENA,GERMANY,5,2003402,BR-3548500,2003402000760,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402000760,64952474.19,SANTOS,INDONESIA,5,2003402,BR-3548500,2003402000760,2003402,Branch 3,logistics hub
SOYBEANS,2003402000760,205746130.0,SANTOS,IRAN,5,2003402,BR-3548500,2003402000760,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402000760,30935501.416,SANTOS,IRELAND,5,2003402,BR-3548500,2003402000760,2003402,Branch 3,logistics hub
SOYBEANS,2003402000760,69122944.0,BARCARENA,NETHERLANDS,5,2003402,BR-3548500,2003402000760,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402000760,24382943.8,SANTOS,NETHERLANDS,5,2003402,BR-3548500,2003402000760,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402000760,420355468.184,SANTOS,THAILAND,5,2003402,BR-3548500,2003402000760,2003402,Branch 3,logistics hub
SOYBEANS,2003402000760,211820370.0,SANTOS,THAILAND,5,2003402,BR-3548500,2003402000760,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402000760,22681010.24,SANTOS,VIETNAM,5,2003402,BR-3548500,2003402000760,2003402,Branch 3,logistics hub
SOYBEANS,2003402000760,13300000.0,SANTOS,VIETNAM,5,2003402,BR-3548500,2003402000760,2003402,Branch 3,logistics hub
SOYBEANS,2003402000841,182516475.0,SANTOS,CHINA (MAINLAND),4,2003402,BR-3548500,2003402000841,2003402,Branch 3,logistics hub
SOYBEANS,2003402000841,71498230.0,SANTOS,IRAN,4,2003402,BR-3548500,2003402000841,2003402,Branch 3,logistics hub
SOYBEANS,2003402000841,67071620.0,SANTOS,TAIWAN,4,2003402,BR-3548500,2003402000841,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402000841,64794308.48,SANTOS,THAILAND,4,2003402,BR-3548500,2003402000841,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402001228,1322257.5,SANTOS,MALAYSIA,2,2003402,BR-5002407,2003402001228,2003402,Branch 2,logistics hub
SOYBEANS,2003402001228,1195140.0,SANTOS,MALAYSIA,2,2003402,BR-5002407,2003402001228,2003402,Branch 2,logistics hub
SOYBEANS,2003402001228,106000000.0,SANTAREM,NETHERLANDS,2,2003402,BR-5002407,2003402001228,2003402,Branch 2,logistics hub
SOYBEAN CAKE,2003402002038,3408485.9999999995,SANTOS,MALAYSIA,1,2003402,BR-5102678,2003402002038,2003402,Branch 1,logistics hub
SOYBEANS,2003402002038,1653000.0,SANTOS,MALAYSIA,1,2003402,BR-5102678,2003402002038,2003402,Branch 1,logistics hub
SOYBEAN CAKE,2003402002380,12781822.499999998,SANTOS,MALAYSIA,2,2003402,BR-5104609,2003402002380,2003402,Branch 2,logistics hub
SOYBEANS,2003402002380,6612000.0,SANTOS,MALAYSIA,2,2003402,BR-5104609,2003402002380,2003402,Branch 2,logistics hub
SOYBEAN CAKE,2003402002461,1028422.5,SANTOS,ANGOLA,3,2003402,BR-5107602,2003402002461,2003402,Branch 3,logistics hub
SOYBEAN OIL,2003402002461,190961.82,SANTOS,GUYANA,3,2003402,BR-5107602,2003402002461,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402002461,528903.0,SANTOS,INDONESIA,3,2003402,BR-5107602,2003402002461,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402002461,26100672.28,SANTOS,MYANMAR,3,2003402,BR-5107602,2003402002461,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402002461,16477943.065999998,SANTOS,POLAND,3,2003402,BR-5107602,2003402002461,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402002542,852121.4999999999,SANTOS,MALAYSIA,1,2003402,BR-5107040,2003402002542,2003402,Branch 1,logistics hub
SOYBEANS,2003402003514,92155000.0,RIO GRANDE,CHINA (MAINLAND),4,2003402,BR-4316907,2003402003514,2003402,Branch 3,logistics hub
SOYBEANS,2003402004677,158887116.0,SAO FRANCISCO DO SUL,CHINA (MAINLAND),3,2003402,BR-4209003,2003402004677,2003402,Branch 3,logistics hub
SOYBEANS,2003402004677,69133121.0,VITORIA,CHINA (MAINLAND),3,2003402,BR-4209003,2003402004677,2003402,Branch 3,logistics hub
SOYBEANS,2003402004677,45043224.0,SAO FRANCISCO DO SUL,JAPAN,3,2003402,BR-4209003,2003402004677,2003402,Branch 3,logistics hub
SOYBEANS,2003402004677,300000.0,SAO FRANCISCO DO SUL,TAIWAN,3,2003402,BR-4209003,2003402004677,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402004677,5637037.863999999,PARANAGUA,TURKEY,3,2003402,BR-4209003,2003402004677,2003402,Branch 3,logistics hub
SOYBEANS,2003402004839,57070000.0,SAO LUIS,BANGLADESH,4,2003402,BR-2909307,2003402004839,2003402,Branch 3,logistics hub
SOYBEANS,2003402004839,8000000.0,SALVADOR,MAURITIUS,4,2003402,BR-2909307,2003402004839,2003402,Branch 3,logistics hub
SOYBEANS,2003402004839,67256592.0,SALVADOR,PORTUGAL,4,2003402,BR-2909307,2003402004839,2003402,Branch 3,logistics hub
SOYBEANS,2003402004839,15000000.0,SALVADOR,UNITED KINGDOM,4,2003402,BR-2909307,2003402004839,2003402,Branch 3,logistics hub
SOYBEAN OIL,2003402005720,1443399.9999999998,PARANAGUA,CHINA (MAINLAND),4,2003402,BR-4118204,2003402005720,2003402,Branch 3,logistics hub
SOYBEANS,2003402005720,517466202.0,PARANAGUA,CHINA (MAINLAND),4,2003402,BR-4118204,2003402005720,2003402,Branch 3,logistics hub
SOYBEANS,2003402005720,66000000.0,RIO GRANDE,CHINA (MAINLAND),4,2003402,BR-4118204,2003402005720,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402005720,50776749.99999999,PARANAGUA,DENMARK,4,2003402,BR-4118204,2003402005720,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402005720,3299199.9999999995,PARANAGUA,EUROPEAN UNION,4,2003402,BR-4118204,2003402005720,2003402,Branch 3,logistics hub
SOYBEAN OIL,2003402005720,6289099.999999999,PARANAGUA,INDIA,4,2003402,BR-4118204,2003402005720,2003402,Branch 3,logistics hub
SOYBEANS,2003402005720,5000000.0,PARANAGUA,INDONESIA,4,2003402,BR-4118204,2003402005720,2003402,Branch 3,logistics hub
SOYBEAN OIL,2003402005720,412400.0,PARANAGUA,MALAYSIA,4,2003402,BR-4118204,2003402005720,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402005720,56240845.862,PARANAGUA,NETHERLANDS,4,2003402,BR-4118204,2003402005720,2003402,Branch 3,logistics hub
SOYBEAN OIL,2003402005720,2783700.0,PARANAGUA,PAKISTAN,4,2003402,BR-4118204,2003402005720,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402005720,41240000.0,PARANAGUA,ROMANIA,4,2003402,BR-4118204,2003402005720,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402005720,1546499.9999999998,PARANAGUA,SPAIN,4,2003402,BR-4118204,2003402005720,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402005720,9794500.0,PARANAGUA,TURKEY,4,2003402,BR-4118204,2003402005720,2003402,Branch 3,logistics hub
SOYBEANS,2003402005991,72344141.0,SANTOS,CHINA (MAINLAND),4,2003402,BR-3550308,2003402005991,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402005991,3514.679,SAO FRANCISCO DO SUL,CHINA (MAINLAND),4,2003402,BR-3550308,2003402005991,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402005991,51642043.556,SANTOS,DENMARK,4,2003402,BR-3550308,2003402005991,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402005991,78475905.3,SANTOS,INDONESIA,4,2003402,BR-3550308,2003402005991,2003402,Branch 3,logistics hub
SOYBEANS,2003402005991,4500.0,SAO LUIS,PORTUGAL,4,2003402,BR-3550308,2003402005991,2003402,Branch 3,logistics hub
SOYBEANS,2003402005991,48450000.0,MANAUS,SPAIN,4,2003402,BR-3550308,2003402005991,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402005991,27811931.235,SANTOS,VIETNAM,4,2003402,BR-3550308,2003402005991,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402006378,2556364.4999999995,SANTOS,MALAYSIA,1,2003402,BR-5107040,2003402006378,2003402,Branch 1,logistics hub
SOYBEANS,2003402006700,68500000.0,SAO LUIS,CHINA (MAINLAND),4,2003402,BR-2101400,2003402006700,2003402,Branch 3,logistics hub
SOYBEANS,2003402006700,21500000.0,SAO LUIS,EUROPEAN UNION,4,2003402,BR-2101400,2003402006700,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402006700,28201006.922,SAO LUIS,SPAIN,4,2003402,BR-2101400,2003402006700,2003402,Branch 3,logistics hub
SOYBEAN OIL,2003402007269,3092999.9999999995,PARANAGUA,BANGLADESH,4,2003402,BR-4115200,2003402007269,2003402,Branch 3,logistics hub
SOYBEANS,2003402007269,10000000.0,PARANAGUA,BANGLADESH,4,2003402,BR-4115200,2003402007269,2003402,Branch 3,logistics hub
SOYBEANS,2003402007269,482317610.875,PARANAGUA,CHINA (MAINLAND),4,2003402,BR-4115200,2003402007269,2003402,Branch 3,logistics hub
SOYBEANS,2003402007269,16000000.0,SAO FRANCISCO DO SUL,CHINA (MAINLAND),4,2003402,BR-4115200,2003402007269,2003402,Branch 3,logistics hub
SOYBEAN OIL,2003402007269,824799.9999999999,PARANAGUA,INDIA,4,2003402,BR-4115200,2003402007269,2003402,Branch 3,logistics hub
SOYBEANS,2003402007269,16211728.0,PARANAGUA,IRAN,4,2003402,BR-4115200,2003402007269,2003402,Branch 3,logistics hub
SOYBEAN CAKE,2003402007269,104125149.075,PARANAGUA,NETHERLANDS,4,2003402,BR-4115200,2003402007269,2003402,Branch 3,logistics hub
SOYBEANS,2003402007269,24999999.0,PARANAGUA,VIETNAM,4,2003402,BR-4115200,2003402007269,2003402,Branch 3,logistics hub
SOYBEANS,2003402008079,165956132.0,SALVADOR,CHINA (MAINLAND),4,2003402,BR-2919553,2003402008079,2003402,Branch 3,logistics hub
SOYBEANS,2003402008079,7000000.0,SALVADOR,NETHERLANDS,4,2003402,BR-2919553,2003402008079,2003402,Branch 3,logistics hub
SOYBEANS,2003402008079,65374690.0,SALVADOR,PAKISTAN,4,2003402,BR-2919553,2003402008079,2003402,Branch 3,logistics hub
SOYBEANS,2003402008079,48000000.0,SALVADOR,TAIWAN,4,2003402,BR-2919553,2003402008079,2003402,Branch 3,logistics hub
SOYBEANS,2003402008230,29000000.0,SALVADOR,CHINA (MAINLAND),1,2003402,BR-2919553,2003402008230,2003402,Branch 1,logistics hub
SOYBEANS,2003402009989,18000000.0,BARCARENA,ALGERIA,4,2003402,BR-1501303,2003402009989,2003402,Branch 3,logistics hub
SOYBEANS,2003402009989,262919596.0,BARCARENA,CHINA (MAINLAND),4,2003402,BR-1501303,2003402009989,2003402,Branch 3,logistics hub
SOYBEANS,2003402009989,5000000.0,BARCARENA,MEXICO,4,2003402,BR-1501303,2003402009989,2003402,Branch 3,logistics hub
SOYBEANS,2003402009989,205120164.0,BARCARENA,NETHERLANDS,4,2003402,BR-1501303,2003402009989,2003402,Branch 3,logistics hub
SOYBEANS,2003402009989,20000000.0,BARCARENA,SAUDI ARABIA,4,2003402,BR-1501303,2003402009989,2003402,Branch 3,logistics hub
